0,314,186
1,313,186
2,313,184
3,314,185
4,315,186
5,317,186
6,317,186
7,317,187
8,319,188
9,321,188
10,323,188
11,324,188
12,324,190
13,323,190
14,324,190
15,324,191
16,323,191
17,323,190
18,321,190
19,319,189
20,319,189
21,319,189
22,318,189
23,316,189
24,315,190
25,314,190
26,312,190
27,309,190
28,306,190
29,304,190
30,303,190
31,302,189
32,303,189
33,303,189
34,302,190
35,302,190
36,301,191
37,300,191
38,298,190
39,296,191
40,296,192
41,296,192
42,295,191
43,294,191
44,293,191
45,292,192
46,291,191
47,289,191
48,288,191
49,287,191
50,286,190
51,286,188
52,286,186
53,285,185
54,285,183
55,285,182
56,285,182
57,285,182
58,285,181
59,285,179
60,286,177
61,285,176
62,284,175
63,284,174
64,283,173
65,283,170
66,281,167
67,280,165
68,279,163
69,279,161
70,278,160
71,276,159
72,274,158
73,272,157
74,270,156
75,269,155
76,267,154
77,267,153
78,266,153
79,265,153
80,264,152
81,262,152
82,261,152
83,260,151
84,259,150
85,258,149
86,258,148
87,257,147
88,256,147
89,255,146
90,254,145
91,253,144
92,252,143
93,251,142
94,250,141
95,249,141
96,248,140
97,247,139
98,246,138
99,245,137
100,244,136
101,243,135
102,242,135
103,241,134
104,240,133
105,239,132
106,238,131
107,237,130
108,236,130
109,235,129
110,234,128
111,233,127
112,294,147
113,295,147
114,296,147
115,297,146
116,298,146
117,299,146
118,300,146
119,300,145
120,301,145
121,302,145
122,303,145
123,304,145
124,305,144
125,306,144
126,307,144
127,308,144
128,309,143
129,310,143
130,311,143
131,311,143
132,312,143
133,313,142
134,314,142
135,315,142
136,316,142
137,317,142
138,318,141
139,320,149
140,320,143
141,318,146
142,318,148
143,318,150
144,318,150
145,319,150
146,320,150
147,322,152
148,324,153
149,324,153
150,325,154
151,325,149
152,326,150
153,327,150
154,365,165
155,393,177
156,397,179
157,401,180
158,406,181
159,410,183
160,414,184
161,418,186
162,423,187
163,427,189
164,431,190
165,435,192
166,439,193
167,444,194
168,448,196
169,452,197
170,456,199
171,460,200
172,465,202
173,469,203
174,473,205
175,477,206
176,482,207
177,486,209
178,490,210
179,494,212
180,498,213
181,503,215
182,507,216
183,511,217
184,515,219
185,519,220
186,524,222
187,528,223
188,532,225
189,536,226
190,540,228
191,545,229
192,549,230
193,553,232
194,557,233
195,562,235
196,566,236
197,570,238
198,574,239
199,578,240
200,583,242
201,587,243
202,591,245
203,595,246
204,599,248
205,604,249
206,608,251
207,612,252
208,616,253
209,620,255
210,625,256
211,629,258
212,633,259
213,637,261
214,642,262
215,646,263
216,650,265
217,654,266
218,658,268
219,663,269
220,667,271
221,671,272
284,384,106
285,383,110
286,383,113
287,384,118
288,385,122
289,385,126
290,384,128
291,383,130
292,382,132
293,384,141
294,383,143
295,382,145
296,381,148
297,383,162
298,382,164
299,381,167
300,381,170
301,432,219
302,434,224
303,436,230
304,438,235
305,440,240
306,404,217
307,405,221
308,405,225
309,405,229
310,373,236
311,372,240
312,371,244
313,369,248
314,368,252
315,367,256
316,365,260
317,364,265
318,363,269
319,361,273
320,360,277
321,359,281
322,358,285
323,356,289
324,355,293
325,354,297
326,352,301
327,351,305
328,350,309
329,348,313
330,288,236
331,285,237
332,277,224
333,273,225
334,270,226
335,272,219
336,272,215
337,269,216
338,273,214
339,276,213
340,279,212
341,276,212
342,281,212
343,286,214
344,291,215
345,295,217
346,299,219
347,303,222
348,308,226
349,312,229
350,317,233
351,321,236
352,325,238
353,329,240
354,333,241
355,336,242
356,339,242
357,341,241
358,344,240
359,345,241
360,347,241
361,347,234
362,348,235
363,350,235
364,351,236
365,353,236
366,354,237
367,355,237
368,357,238
369,358,238
370,360,239
371,361,239
372,363,240
373,364,240
374,365,241
375,367,241
376,368,242
377,370,242
378,371,242
379,372,243
380,374,243
381,375,244
382,377,244
383,378,245
384,380,245
385,381,246
386,382,246
387,384,247
388,385,247
389,387,248
390,388,248
391,390,249
392,391,249
393,392,250
394,394,250
395,395,251
396,397,251
397,398,251
398,323,191
399,322,190
400,322,189
401,321,188
402,308,184
