,startx,endx,starty,endy,naive,vectorized,multiprocessing
116,47,110,119,55,1.401305203,1.401305203,1.401305203
117,46,115,122,57,1.483606557,1.483606557,1.483606557
118,40,114,117,57,1.668589744,1.668589744,1.668589744
119,43,113,119,56,1.549247606,1.549247606,1.549247606
120,46,116,122,58,1.498574483,1.498574483,1.498574483
121,46,114,122,57,1.472736992,1.472736992,1.472736992
122,47,113,122,56,1.431635856,1.431635856,1.431635856
123,50,114,121,57,1.37553719,1.37553719,1.37553719
124,47,118,123,59,1.495156547,1.495156547,1.495156547
125,47,116,124,58,1.467913521,1.467913521,1.467913521
126,50,114,121,57,1.37553719,1.37553719,1.37553719
127,48,115,124,57,1.427755376,1.427755376,1.427755376
128,48,117,124,58,1.452620968,1.452620968,1.452620968
129,46,118,122,59,1.524411974,1.524411974,1.524411974
130,49,113,124,56,1.378867676,1.378867676,1.378867676
131,46,113,126,56,1.450483092,1.450483092,1.450483092
132,52,117,126,58,1.35515873,1.35515873,1.35515873
133,44,114,125,57,1.523454545,1.523454545,1.523454545
134,50,112,125,56,1.344,1.344,1.344
135,41,119,122,59,1.693022791,1.693022791,1.693022791
136,47,112,124,56,1.417295813,1.417295813,1.417295813
137,40,116,126,58,1.68015873,1.68015873,1.68015873
138,47,112,125,56,1.415489362,1.415489362,1.415489362
139,45,112,126,56,1.466666667,1.466666667,1.466666667
140,45,110,126,55,1.44047619,1.44047619,1.44047619
141,47,117,125,58,1.476680851,1.476680851,1.476680851
142,43,122,122,61,1.668604651,1.668604651,1.668604651
143,46,113,123,56,1.455903146,1.455903146,1.455903146
144,49,114,125,57,1.391265306,1.391265306,1.391265306
145,48,115,126,57,1.424107143,1.424107143,1.424107143
146,49,112,124,56,1.368663594,1.368663594,1.368663594
147,51,115,129,57,1.348381213,1.348381213,1.348381213
148,55,116,126,58,1.284704185,1.284704185,1.284704185
149,54,117,128,59,1.313802083,1.313802083,1.313802083
150,50,115,127,58,1.378346457,1.378346457,1.378346457
151,60,116,138,58,1.176811594,1.176811594,1.176811594
152,59,117,133,58,1.209570537,1.209570537,1.209570537
153,61,116,135,58,1.165634487,1.165634487,1.165634487
154,61,117,134,58,1.175434304,1.175434304,1.175434304
155,54,118,127,59,1.324876057,1.324876057,1.324876057
156,47,114,120,57,1.450265957,1.450265957,1.450265957
157,49,116,125,58,1.415673469,1.415673469,1.415673469
158,58,117,134,58,1.2250386,1.2250386,1.2250386
159,59,120,132,60,1.24422188,1.24422188,1.24422188
160,46,120,121,60,1.55228171,1.55228171,1.55228171
161,54,117,127,59,1.315616798,1.315616798,1.315616798
162,56,117,134,58,1.261060768,1.261060768,1.261060768
163,57,121,134,60,1.285284106,1.285284106,1.285284106
164,54,120,132,60,1.338383838,1.338383838,1.338383838
165,62,114,136,57,1.128913662,1.128913662,1.128913662
