Box 107: (309,303), (432,303), (432,364), (309,364)
Box 108: (309,303), (432,303), (432,364), (309,364)
Box 109: (309,303), (432,303), (432,364), (309,364)
Box 110: (309,303), (432,303), (432,364), (309,364)
Box 111: (309,303), (432,303), (432,364), (309,364)
Box 112: (309,303), (432,303), (432,364), (309,364)
Box 113: (309,303), (432,303), (432,364), (309,364)
Box 114: (309,303), (432,303), (432,364), (309,364)
Box 115: (309,303), (432,303), (432,364), (309,364)
Box 116: (309,303), (432,303), (432,364), (309,364)
Box 117: (309,303), (432,303), (432,364), (309,364)
Box 118: (309,303), (432,303), (432,364), (309,364)
Box 119: (309,303), (432,303), (432,364), (309,364)
Box 120: (309,303), (432,303), (432,364), (309,364)
Box 121: (309,303), (432,303), (432,364), (309,364)
Box 122: (309,303), (432,303), (432,364), (309,364)
Box 123: (309,303), (432,303), (432,364), (309,364)
Box 124: (309,303), (432,303), (432,364), (309,364)
Box 125: (309,303), (432,303), (432,364), (309,364)
Box 126: (309,303), (432,303), (432,364), (309,364)
Box 127: (309,303), (432,303), (432,364), (309,364)
Box 128: (309,303), (432,303), (432,364), (309,364)
Box 129: (309,303), (432,303), (432,364), (309,364)
Box 130: (309,303), (432,303), (432,364), (309,364)
Box 131: (309,303), (432,303), (432,364), (309,364)
Box 132: (309,303), (432,303), (432,364), (309,364)
Box 133: (309,303), (432,303), (432,364), (309,364)
Box 134: (309,303), (432,303), (432,364), (309,364)
Box 135: (309,303), (432,303), (432,364), (309,364)
Box 136: (309,303), (432,303), (432,364), (309,364)
Box 137: (309,303), (432,303), (432,364), (309,364)
Box 138: (309,303), (432,303), (432,364), (309,364)
Box 139: (309,303), (432,303), (432,364), (309,364)
Box 140: (309,303), (432,303), (432,364), (309,364)
Box 141: (309,303), (432,303), (432,364), (309,364)
Box 142: (309,303), (432,303), (432,364), (309,364)
Box 143: (309,303), (432,303), (432,364), (309,364)
Box 144: (309,303), (432,303), (432,364), (309,364)
Box 145: (309,303), (432,303), (432,364), (309,364)
Box 146: (309,303), (432,303), (432,364), (309,364)
Box 147: (309,303), (432,303), (432,364), (309,364)
Box 148: (309,303), (432,303), (432,364), (309,364)
Box 149: (309,303), (432,303), (432,364), (309,364)
Box 150: (309,303), (432,303), (432,364), (309,364)
Box 151: (309,303), (432,303), (432,364), (309,364)
Box 152: (309,303), (432,303), (432,364), (309,364)
Box 153: (309,303), (432,303), (432,364), (309,364)
Box 154: (309,303), (432,303), (432,364), (309,364)
Box 155: (309,303), (432,303), (432,364), (309,364)
Box 156: (309,303), (432,303), (432,364), (309,364)
Box 157: (309,303), (432,303), (432,364), (309,364)
Box 158: (309,303), (432,303), (432,364), (309,364)
Box 159: (309,303), (432,303), (432,364), (309,364)
Box 160: (309,303), (432,303), (432,364), (309,364)
Box 161: (309,303), (432,303), (432,364), (309,364)
Box 162: (309,303), (432,303), (432,364), (309,364)
Box 163: (309,303), (432,303), (432,364), (309,364)
Box 164: (309,303), (432,303), (432,364), (309,364)
Box 165: (309,303), (432,303), (432,364), (309,364)
Box 166: (309,303), (432,303), (432,364), (309,364)
Box 167: (309,303), (432,303), (432,364), (309,364)
Box 168: (309,303), (432,303), (432,364), (309,364)
Box 169: (309,303), (432,303), (432,364), (309,364)
Box 170: (309,303), (432,303), (432,364), (309,364)
Box 171: (309,303), (432,303), (432,364), (309,364)
Box 172: (309,303), (432,303), (432,364), (309,364)
Box 173: (309,303), (432,303), (432,364), (309,364)
Box 174: (309,303), (432,303), (432,364), (309,364)
Box 175: (309,303), (432,303), (432,364), (309,364)
Box 176: (309,303), (432,303), (432,364), (309,364)
Box 177: (309,303), (432,303), (432,364), (309,364)
Box 178: (309,303), (432,303), (432,364), (309,364)
Box 179: (309,303), (432,303), (432,364), (309,364)
Box 180: (309,303), (432,303), (432,364), (309,364)
Box 181: (309,303), (432,303), (432,364), (309,364)
Box 182: (309,303), (432,303), (432,364), (309,364)
Box 183: (309,303), (432,303), (432,364), (309,364)
Box 184: (309,303), (432,303), (432,364), (309,364)
Box 185: (309,303), (432,303), (432,364), (309,364)
Box 186: (309,303), (432,303), (432,364), (309,364)
Box 187: (309,303), (432,303), (432,364), (309,364)
Box 188: (309,303), (432,303), (432,364), (309,364)
Box 189: (309,303), (432,303), (432,364), (309,364)
Box 190: (309,303), (432,303), (432,364), (309,364)
Box 191: (309,303), (432,303), (432,364), (309,364)
Box 192: (309,303), (432,303), (432,364), (309,364)
Box 193: (309,303), (432,303), (432,364), (309,364)
Box 194: (309,303), (432,303), (432,364), (309,364)
Box 195: (309,303), (432,303), (432,364), (309,364)
Box 196: (309,303), (432,303), (432,364), (309,364)
Box 197: (309,303), (432,303), (432,364), (309,364)
Box 198: (309,303), (432,303), (432,364), (309,364)
Box 199: (309,303), (432,303), (432,364), (309,364)
Box 200: (309,303), (432,303), (432,364), (309,364)
Box 201: (309,303), (432,303), (432,364), (309,364)
Box 202: (309,303), (432,303), (432,364), (309,364)
Box 203: (309,303), (432,303), (432,364), (309,364)
Box 204: (309,303), (432,303), (432,364), (309,364)
Box 205: (309,303), (432,303), (432,364), (309,364)
Box 206: (309,303), (432,303), (432,364), (309,364)
Box 207: (309,303), (432,303), (432,364), (309,364)
Box 208: (309,303), (432,303), (432,364), (309,364)
Box 209: (309,303), (432,303), (432,364), (309,364)
Box 210: (309,303), (432,303), (432,364), (309,364)
Box 211: (309,303), (432,303), (432,364), (309,364)
Box 212: (309,303), (432,303), (432,364), (309,364)
Box 213: (309,303), (432,303), (432,364), (309,364)
Box 214: (309,303), (432,303), (432,364), (309,364)
Box 215: (309,303), (432,303), (432,364), (309,364)
Box 216: (309,303), (432,303), (432,364), (309,364)
Box 217: (309,303), (432,303), (432,364), (309,364)
Box 218: (309,303), (432,303), (432,364), (309,364)
Box 219: (309,303), (432,303), (432,364), (309,364)
Box 220: (309,303), (432,303), (432,364), (309,364)
Box 221: (309,303), (432,303), (432,364), (309,364)
Box 222: (309,303), (432,303), (432,364), (309,364)
Box 223: (309,303), (432,303), (432,364), (309,364)
Box 224: (309,303), (432,303), (432,364), (309,364)
Box 225: (309,303), (432,303), (432,364), (309,364)
Box 226: (309,303), (432,303), (432,364), (309,364)
Box 227: (309,303), (432,303), (432,364), (309,364)
Box 228: (309,303), (432,303), (432,364), (309,364)
Box 229: (309,303), (432,303), (432,364), (309,364)
Box 230: (309,303), (432,303), (432,364), (309,364)
Box 231: (309,303), (432,303), (432,364), (309,364)
Box 232: (309,303), (432,303), (432,364), (309,364)
Box 233: (309,303), (432,303), (432,364), (309,364)
Box 234: (309,303), (432,303), (432,364), (309,364)
Box 235: (309,303), (432,303), (432,364), (309,364)
Box 236: (309,303), (432,303), (432,364), (309,364)
Box 237: (309,303), (432,303), (432,364), (309,364)
Box 238: (309,303), (432,303), (432,364), (309,364)
Box 239: (309,303), (432,303), (432,364), (309,364)
Box 240: (309,303), (432,303), (432,364), (309,364)
Box 241: (309,303), (432,303), (432,364), (309,364)
Box 242: (309,303), (432,303), (432,364), (309,364)
Box 243: (309,303), (432,303), (432,364), (309,364)
Box 244: (309,303), (432,303), (432,364), (309,364)
Box 245: (309,303), (432,303), (432,364), (309,364)
Box 246: (309,303), (432,303), (432,364), (309,364)
Box 247: (309,303), (432,303), (432,364), (309,364)
Box 248: (309,303), (432,303), (432,364), (309,364)
Box 249: (309,303), (432,303), (432,364), (309,364)
Box 250: (309,303), (432,303), (432,364), (309,364)
Box 251: (309,303), (432,303), (432,364), (309,364)
Box 252: (309,303), (432,303), (432,364), (309,364)
Box 253: (309,303), (432,303), (432,364), (309,364)
Box 254: (309,303), (432,303), (432,364), (309,364)
Box 255: (309,303), (432,303), (432,364), (309,364)
Box 256: (309,303), (432,303), (432,364), (309,364)
Box 257: (309,303), (432,303), (432,364), (309,364)
Box 258: (309,303), (432,303), (432,364), (309,364)
Box 259: (309,303), (432,303), (432,364), (309,364)
Box 260: (309,303), (432,303), (432,364), (309,364)
Box 261: (309,303), (432,303), (432,364), (309,364)
Box 262: (309,303), (432,303), (432,364), (309,364)
Box 263: (309,303), (432,303), (432,364), (309,364)
Box 264: (309,303), (432,303), (432,364), (309,364)
Box 265: (309,303), (432,303), (432,364), (309,364)
Box 266: (309,303), (432,303), (432,364), (309,364)
Box 267: (309,303), (432,303), (432,364), (309,364)
Box 268: (309,303), (432,303), (432,364), (309,364)
Box 269: (309,303), (432,303), (432,364), (309,364)
Box 270: (309,303), (432,303), (432,364), (309,364)
Box 271: (309,303), (432,303), (432,364), (309,364)
Box 272: (309,303), (432,303), (432,364), (309,364)
Box 273: (309,303), (432,303), (432,364), (309,364)
